pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2024000390,1,1,4,0,,,,,4,0,996,,52,2024,3,36,4,1,6,2,3,0,3,7,1,5,3,1,1,1,9,9,9,0,0,9,4,44,442,99,99,1,176649,650709
2024000394,1,1,2,4000,1082,,9999,,,,,,11,2024,10,80,4,5,7,3,5,3,0,1,1,2,3,3,1,1,9,9,9,0,0,9,3,31,311,0,13,3,196200,743881
2024000400,1,1,3,0,,,,,6,65,1850,4203,12,2024,8,70,4,1,5,2,2,0,2,5,0,3,3,1,1,1,9,9,9,0,0,9,3,32,324,99,99,1,203485,709847
2024000401,1,1,1,70,724,728,,8870052,,,,,38,2024,8,86,4,5,1,3,2,0,3,1,1,4,3,3,1,1,9,9,9,0,0,9,6,61,613,0,13,1,166594,632486
2024000412,1,1,2,31,194,,9999,,,,,,34,2024,4,46,4,1,1,3,8,3,0,1,1,1,3,1,1,1,1,9,9,0,0,9,6,62,622,0,16,3,164105,580588
2024000428,1,1,2,1139,135,,9999,,,,,,12,2024,4,52,4,1,2,3,2,3,0,1,1,3,3,1,1,1,9,9,9,0,0,9,2,24,242,0,16,3,230457,758595
2024000449,1,1,1,7100,496,1035,,10800341,,,,,38,2024,12,43,4,1,6,2,17,0,4,1,1,2,5,1,1,9,9,9,9,0,0,9,6,61,614,0,14,1,161755,620861
2024000452,1,1,4,0,,,,,20,0,160,,20,2024,11,78,4,5,3,2,3,9,0,0,0,0,5,6,9,9,9,9,9,0,0,9,5,51,511,99,99,1,180623,664360
2024000460,1,1,1,7400,877,847,,10220113,,,,,51,2024,11,38,4,1,5,3,1,1,0,1,1,2,3,1,1,1,9,9,9,3,3,9,4,41,411,0,13,1,188391,690398
2024000475,1,1,1,3000,1747,1737,,260534,,,,,61,2024,2,61,4,1,1,3,2,3,0,1,1,2,3,1,1,1,9,9,9,0,0,9,1,11,111,0,12,1,221244,628526
